province-name,district-name,subdistrict-name,total,household
กรุงเทพมหานคร,พระนคร,พระบรมมหาราชวัง,2896,1195
กรุงเทพมหานคร,พระนคร,วังบูรพาภิรมย์,8489,5326
กรุงเทพมหานคร,พระนคร,วัดราชบพิธ,2846,979
กรุงเทพมหานคร,พระนคร,สำราญราษฎร์,2654,1105
กรุงเทพมหานคร,พระนคร,ศาลเจ้าพ่อเสือ,2676,1000
กรุงเทพมหานคร,พระนคร,เสาชิงช้า,1870,700
กรุงเทพมหานคร,พระนคร,บวรนิเวศ,3575,1576
กรุงเทพมหานคร,พระนคร,ตลาดยอด,1904,1170
กรุงเทพมหานคร,พระนคร,ชนะสงคราม,1636,829
กรุงเทพมหานคร,พระนคร,บ้านพานถม,5439,2006
กรุงเทพมหานคร,พระนคร,บางขุนพรหม,3736,2184
กรุงเทพมหานคร,พระนคร,วัดสามพระยา,2533,972
กรุงเทพมหานคร,ดุสิต,ดุสิต,9792,2712
กรุงเทพมหานคร,ดุสิต,วชิรพยาบาล,8844,3041
กรุงเทพมหานคร,ดุสิต,สวนจิตรลดา,5917,2057
กรุงเทพมหานคร,ดุสิต,สี่แยกมหานาค,6720,2419
กรุงเทพมหานคร,ดุสิต,ถนนนครไชยศรี,44541,22372
กรุงเทพมหานคร,หนองจอก,กระทุ่มราย,41193,17355
กรุงเทพมหานคร,หนองจอก,หนองจอก,24218,9581
กรุงเทพมหานคร,หนองจอก,คลองสิบ,9611,2839
กรุงเทพมหานคร,หนองจอก,คลองสิบสอง,12175,5027
กรุงเทพมหานคร,หนองจอก,โคกแฝด,35046,12838
กรุงเทพมหานคร,หนองจอก,คู้ฝั่งเหนือ,18222,6575
กรุงเทพมหานคร,หนองจอก,ลำผักชี,33816,15638
กรุงเทพมหานคร,หนองจอก,ลำต้อยติ่ง,9857,3195
กรุงเทพมหานคร,บางรัก,มหาพฤฒาราม,9865,7366
กรุงเทพมหานคร,บางรัก,สีลม,16311,13347
กรุงเทพมหานคร,บางรัก,สุริยวงศ์,4172,4927
กรุงเทพมหานคร,บางรัก,บางรัก,2413,1447
กรุงเทพมหานคร,บางรัก,สี่พระยา,10160,8323
กรุงเทพมหานคร,บางเขน,อนุสาวรีย์,85903,61027
กรุงเทพมหานคร,บางเขน,ท่าแร้ง,98708,56337
กรุงเทพมหานคร,บางกะปิ,คลองจั่น,73827,49885
กรุงเทพมหานคร,บางกะปิ,หัวหมาก,67533,64837
กรุงเทพมหานคร,ปทุมวัน,รองเมือง,15198,7140
กรุงเทพมหานคร,ปทุมวัน,วังใหม่,5093,5322
กรุงเทพมหานคร,ปทุมวัน,ปทุมวัน,2746,962
กรุงเทพมหานคร,ปทุมวัน,ลุมพินี,17040,18714
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,12308,6444
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,วัดเทพศิรินทร์,5721,2739
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,คลองมหานาค,8073,5631
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,บ้านบาตร,5743,2582
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,วัดโสมนัส,6255,2223
กรุงเทพมหานคร,พระโขนง,บางจาก,64629,45700
กรุงเทพมหานคร,พระโขนง,พระโขนงใต้,21067,17870
กรุงเทพมหานคร,มีนบุรี,มีนบุรี,95942,50492
กรุงเทพมหานคร,มีนบุรี,แสนแสบ,45076,14972
กรุงเทพมหานคร,ลาดกระบัง,ลาดกระบัง,30137,21004
กรุงเทพมหานคร,ลาดกระบัง,คลองสองต้นนุ่น,67200,35430
กรุงเทพมหานคร,ลาดกระบัง,คลองสามประเวศ,15947,11487
กรุงเทพมหานคร,ลาดกระบัง,ลำปลาทิว,26171,15293
กรุงเทพมหานคร,ลาดกระบัง,ทับยาว,32060,19026
กรุงเทพมหานคร,ลาดกระบัง,ขุมทอง,8384,3221
กรุงเทพมหานคร,ยานนาวา,ช่องนนทรี,46398,33973
กรุงเทพมหานคร,ยานนาวา,บางโพงพาง,27018,19831
กรุงเทพมหานคร,สัมพันธวงศ์,จักรวรรดิ,5886,5025
กรุงเทพมหานคร,สัมพันธวงศ์,สัมพันธวงศ์,7324,4431
กรุงเทพมหานคร,สัมพันธวงศ์,ตลาดน้อย,6336,3720
กรุงเทพมหานคร,พญาไท,สามเสนใน,29479,21524
กรุงเทพมหานคร,พญาไท,พญาไท,34558,24268
กรุงเทพมหานคร,ธนบุรี,วัดกัลยาณ์,7739,2759
กรุงเทพมหานคร,ธนบุรี,หิรัญรูจี,10788,3968
กรุงเทพมหานคร,ธนบุรี,บางยี่เรือ,18470,7942
กรุงเทพมหานคร,ธนบุรี,บุคคโล,16075,12981
กรุงเทพมหานคร,ธนบุรี,ตลาดพลู,15221,12930
กรุงเทพมหานคร,ธนบุรี,ดาวคะนอง,16581,12383
กรุงเทพมหานคร,ธนบุรี,สำเหร่,13412,8719
กรุงเทพมหานคร,บางกอกใหญ่,วัดอรุณ,10985,4417
กรุงเทพมหานคร,บางกอกใหญ่,วัดท่าพระ,49690,28572
กรุงเทพมหานคร,ห้วยขวาง,ห้วยขวาง,27325,36722
กรุงเทพมหานคร,ห้วยขวาง,บางกะปิ,19582,30726
กรุงเทพมหานคร,ห้วยขวาง,สามเสนนอก,36785,25468
กรุงเทพมหานคร,คลองสาน,สมเด็จเจ้าพระยา,11444,5431
กรุงเทพมหานคร,คลองสาน,คลองสาน,13160,6499
กรุงเทพมหานคร,คลองสาน,บางลำภูล่าง,22471,15038
กรุงเทพมหานคร,คลองสาน,คลองต้นไทร,17886,15165
กรุงเทพมหานคร,ตลิ่งชัน,คลองชักพระ,9560,4622
กรุงเทพมหานคร,ตลิ่งชัน,ตลิ่งชัน,23385,11577
กรุงเทพมหานคร,ตลิ่งชัน,ฉิมพลี,23238,9845
กรุงเทพมหานคร,ตลิ่งชัน,บางพรม,13045,5046
กรุงเทพมหานคร,ตลิ่งชัน,บางระมาด,20059,8670
กรุงเทพมหานคร,ตลิ่งชัน,บางเชือกหนัง,12043,4705
